iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
68,1.1917061805725098,-166.60155364225307,0.0007955552055678993,-166.60077606223427,-166.6041018290812,9.827909247751792,0.1,0.00443577766418457,0.10498476028442383,0.049282603,0.010861362,-165.28764334256752,12000,0.4415395259857178,8.675846415718521e-07,6.428994405901724e-07
69,1.1911182403564453,-166.60140084249056,0.0007118633027237934,-166.60072739342135,-166.60355129611,9.866598254292791,0.1,0.006658077239990234,0.14638304710388184,0.052616525,0.011010114,-165.41901909255984,12000,0.48732423782348633,6.437305820576614e-07,9.714336787231386e-07
70,1.203878402709961,-166.60204410037173,0.0010210656692578926,-166.60075932509704,-166.60501656801972,15.908821235789395,0.1,0.004857540130615234,0.10531425476074219,0.045935787,0.0076170852,-165.53732159334103,12000,0.5702533721923828,9.659517509453987e-07,6.036386630654806e-07
71,1.2747907638549805,-166.60321277061902,0.0013600080640819108,-166.60105427770614,-166.60633392705628,22.05998728926193,0.1,0.004582643508911133,0.1062326431274414,0.044639744,0.0021653469,-165.64391071106886,12000,0.5361368656158447,6.050154812164881e-07,5.483093169725078e-07
72,1.1989340782165527,-166.6035129165251,0.001641028822390661,-166.6010095399622,-166.60733168800516,10.069155213372184,0.1,0.004872798919677734,0.10802054405212402,0.045660395,0.010901871,-165.7398709316145,12000,0.5205812454223633,5.485384602186737e-07,5.854558355122462e-07
73,1.1773672103881836,-166.60320366175836,0.0012627195722652923,-166.6011628731107,-166.60568299452322,11.028516102768831,0.1,0.0044252872467041016,0.1080021858215332,0.056646053,0.008287882,-165.82620420462888,12000,0.5379712581634521,5.858825868367834e-07,5.685111045019645e-07
74,1.2029564380645752,-166.60102190744558,0.0004858412020001269,-166.60072739342135,-166.60306094913315,13.500242765388794,0.1,0.006856679916381836,0.1483900547027588,0.050307438,0.0057016546,-165.90368597491056,12000,0.6209661960601807,5.633728425939679e-07,7.642991391654421e-07
75,1.3697621822357178,-166.60144605776193,0.000687829937538027,-166.60074864936695,-166.60345052878057,9.742067457836017,0.1,0.006598472595214844,0.1494278907775879,0.048669536,0.010197923,-165.9734619831957,12000,0.5239830017089844,7.619942488360114e-07,4.570982940042626e-07
76,1.1923274993896484,-166.6010105080422,0.00025920943810120727,-166.60072739342135,-166.601749205812,10.224614432247087,0.1,0.004647970199584961,0.11516690254211426,0.04564225,0.012145093,-166.03621683568036,12000,0.5200726985931396,4.5648441213262544e-07,7.121941523816332e-07
77,1.197554349899292,-166.60181122935685,0.0011410199812416694,-166.6007299910869,-166.60526162812778,10.126896857749076,0.1,0.005420207977294922,0.1092844009399414,0.044971537,0.010403937,-166.092776275048,12000,0.5648181438446045,7.08405830470269e-07,2.3508080610737617e-06
